Player,grupo_posicional,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
Anton Stach,Pivote,3.7969476199433583,-1.3254831621595105,0.7520591456087937,0.3174194952806885,0.2790861079340659,0.7362846733427759,-1.5070006675280883,-0.7529213432048907,-0.50606532722465
Manuel Ugarte,Pivote,-2.772601280122461,1.039013617723317,-0.5331909109850581,1.9675580263907004,0.5366874034403069,1.4593834188202586,0.0034204674930024097,0.17301937195360997,0.04370261370380577
Tomáš Souček,Pivote,4.020655777741569,0.05046737137458849,-0.9156283570538661,-0.8073195825239551,1.8466451401910724,-0.8429578883514697,0.16117787175310067,-0.08600592180837308,-0.4954605552164729
João Palhinha,Pivote,3.860356836772996,0.2680286883975616,-0.9964624696283698,1.440911298001122,-0.6809445484679498,0.742598175638404,-1.21545099183217,-0.22728399230047647,0.5534655319278275
Lamare Bogarde,Pivote,-3.2518893790543606,1.1249061293672888,-0.5225429607870391,0.9186056113951255,-1.302455499141099,-1.2937691691254403,-0.7173538143097303,0.0433707658956965,0.9546870419856947
Florentino Luís,Pivote,-1.283046091785299,0.5488717722524309,1.2310526418821337,0.4587101167393622,-1.0902181308423822,0.29834674089062135,0.4256850100061131,0.6878314930548235,-2.230954609706169
Soungoutou Magassa,Pivote,1.868563357984339,0.9589649291726955,-1.7337453674251684,2.1462513576765074,-0.9860247912696221,0.7938722828482276,0.0008590655765756506,-1.0713614392636086,-0.2958989745138827
Casemiro,Pivote,5.3240162822397705,3.3522002005235594,0.22214856485379753,-0.9434726016266517,1.5344347230616484,-0.019828671046887784,0.027702953455525047,-0.10859563298037138,-0.8975710071221259
Adam Wharton,Pivote,2.1811599291125505,2.717421753710118,1.5225152134772755,-2.5694036787717547,0.2834117595633029,1.0385163054241955,-0.7596254979291777,-0.730261177329734,-0.15036556522573985
Roméo Lavia,Pivote,-3.3204289003829444,0.6121223657269055,-0.6566142297371687,0.9844238114231432,-0.4825547799203245,0.5951030890207462,-0.22189343403151732,-0.24707439821258065,0.2967983436187027
Sandro Tonali,Pivote,-0.5020486551094929,-0.9597995110837464,2.432744253040954,-0.15489322423866736,0.4699330011600301,0.2310897439213114,1.335193188807329,-1.0707318478457337,0.515092924270706
Lesley Ugochukwu,Pivote,3.5833661432967086,2.2394404479082417,-0.9391116526638708,-3.0085440840044027,1.5622167357672816,-0.560130516941034,-0.2641816887580129,-0.14080992488900101,0.47303590927214983
Yves Bissouma,Pivote,-1.7672504260995079,0.5463355670732299,-0.20528536722532745,1.4725979919715342,0.9108030183758652,0.7316211770213402,0.1637741835298815,0.5905956677274248,0.8526755488749547
Vitaly Janelt,Pivote,2.8512194486685107,0.06395770833855473,1.0102913459290455,0.5166822622970902,-1.807648749165668,0.49019308885820256,0.22026071747313697,-0.8234591775734091,-0.8598456198969482
Rodri,Pivote,0.6038122147127514,-0.4361616346587919,-1.5953840099806251,0.4642939757854348,-0.225066305932716,0.03437937164911498,-0.7519695339578983,-1.0612630544900268,1.18477685828989
Rodrigo Bentancur,Pivote,1.4237709532335883,0.0063021572206523385,-1.0521085734780844,0.19825382802867003,-1.079884146267094,0.08551881794429714,0.703037095805136,-0.23559395279538572,-1.7517909911249276
Tyler Adams,Pivote,3.520123484325405,0.4237926814090531,-0.8347468082639017,1.0960373711492757,-0.6202177618947784,-0.9210736255776069,0.5632233232798,0.9230006875162776,-0.9187342759500302
Jefferson Lerma,Pivote,0.360649603399555,-0.6111171958300203,1.8414999629821893,0.4822485894898256,-0.7444207515350536,1.9872112275592815,2.6100056800554348,3.924101293124167,1.5739131591790432
Jack Hinshelwood,Pivote,4.602111560358712,-2.649388023263686,0.21492526441634918,-0.9686365853732568,0.483195431425411,0.02898156734883875,1.3114436381835048,4.396696583634677,-0.09868014792389611
Amadou Onana,Pivote,2.0567173548179936,-0.5209017107253822,-2.1642184484397213,0.7974763428967655,0.5122386796264291,0.5857857410930151,-0.8340957571750813,-0.10730351712818632,1.2527420979758186
Carlos Baleba,Pivote,-2.609996019336504,0.8851344192436329,-0.49059282253558856,1.4603336549988262,0.5684500256868995,0.12183812299452984,0.6691511503519748,0.1539772095427753,0.8226113693409046
Boubacar Kamara,Pivote,2.9885634212308037,0.03539843513136485,-0.15747888025456322,0.3362121411279189,-1.747714269614967,-0.46369472840246345,-0.41738266997855433,0.16207662659472946,2.0904781786730307
Freddie Potts,Pivote,-1.2549229154949235,-0.4096822490898898,1.3415474274651296,-0.2247339815098368,-1.4681197510427764,1.2839894248513353,0.05314146461139669,-0.4595270593960945,0.1265791082501386
Idrissa Gana Gueye,Pivote,3.00698404205431,0.2513708030749888,0.32603993107962614,-1.3773549384751747,-0.16421468341440149,1.403972555749449,0.05091638797085641,-1.2296389006189001,0.8445418540702032
Ibrahim Sangaré,Pivote,2.5555827198717624,-0.15137087464724824,-0.8704245749908409,0.6532146060291004,-0.7759559172330585,-0.08210081898189334,-1.2930685992415174,0.38569183926734224,-0.4865308230969282
Jordan Henderson,Pivote,2.2916798014625326,-1.2157594218166206,-0.021368536648497704,-1.542259669651972,-1.9573385529637854,-1.8896791215287323,0.5393654873921501,-0.9941410162425418,-1.4326278356065256
Guido Rodríguez,Pivote,-2.76820916913481,0.3767607094428677,0.38882219723017974,0.35386632133568724,-0.891420459337138,-1.0138043872432856,1.596416578206247,-1.6225699753874538,1.3495422396193049
Ilia Gruev,Pivote,-0.6832273809509583,-0.6819446881162495,2.1944176468638834,-1.132444440907773,-1.8794723214930336,-0.1170700718328734,-0.27780878099601836,-0.13734396675050276,-0.17227102020828125
Christian Nørgaard,Pivote,-1.563304592267808,-1.051769887090492,0.7459234464996264,1.0454532637140221,3.0068650443525593,1.714717856370944,-1.1147865518530293,0.8911217295116852,-0.799385513541078
Jerome Abbey,Pivote,-3.1805027106564046,-1.150811308272241,-1.3546999092154481,-1.9391425077864453,-0.2909016221851433,-0.9801390496701352,2.7729649961362695,-0.34484729173927603,-1.0502485618911228
André,Pivote,-0.029354900517843886,0.6066117239225519,-1.3195727709364773,1.162166280296391,-1.252542331101698,-0.7678750611647691,-0.25519392357250004,-1.2366399131040977,-0.23205432835080134
Ethan Ampadu,Pivote,0.2466160809530116,0.28672188274624305,-0.23578923632192103,1.0234987154570019,-0.552003709717206,0.5730545026164874,0.2643396932586841,-0.5984956932957911,-0.31883479321723995
Granit Xhaka,Pivote,1.6940143503576968,-0.738625269408423,1.316620832151595,-0.5121034877924387,-1.8289024529091436,0.18635778984613385,-0.27210632887243,-1.1105643382697277,0.4908038567227192
Sander Berge,Pivote,-1.669387319321441,-1.4486898175584064,0.1790125022000314,-1.2977540367393052,-1.1961335110478695,0.56240880597343,2.05312657043697,3.8674034309958665,-0.4491340030965467
Moisés Caicedo,Pivote,2.6048460174408326,2.2879620723264265,-1.3762666428036159,1.0209734037102327,-0.5516973383233864,0.8285688868550712,0.011731993145300292,-0.36172779358772766,0.4105422613942189
Dario Essugo,Pivote,-3.337728802296607,2.0496834159710993,-0.6328814270940502,1.9713305722793666,-1.2848081579391464,-1.675352795082089,-1.3914440595068562,0.8704109298346553,0.8193465568406113
Mohamadou Kanté,Pivote,-2.9359886883615194,1.398807161720867,-0.04287957971643712,2.063730654714696,0.7310920381990822,-1.0850357307025003,-1.6706122674481,0.9389935734037228,0.1344837225287123
Martín Zubimendi,Pivote,3.2728243561756485,-1.2712540026306562,-1.4963540934369965,-0.369903708004093,-0.06389406593351511,-0.05933441692668112,0.1713064797443156,-0.42038382106986705,-1.0233353738540032
