Player,grupo_posicional,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5,similar_6,score_6,similar_7,score_7,similar_8,score_8,similar_9,score_9,similar_10,score_10,similar_11,score_11,similar_12,score_12,similar_13,score_13,similar_14,score_14,similar_15,score_15
Anton Stach,Pivote,Danilo Cataldi,0.9475,Hakan Çalhanoğlu,0.9471,Joshua Kimmich,0.9059,Rolando Mandragora,0.8866,Aleksandar Pavlovic,0.8841,Nabil Bentaleb,0.8665,Gianluca Gaetano,0.8592,Robin Fellhauer,0.8557,Pierre Højbjerg,0.8472,Youssouf Fofana,0.8418,Wouter Burger,0.816,Ryan Gravenberch,0.8138,Vitinha,0.8118,Raúl,0.8087,Tyler Morton,0.7917
Manuel Ugarte,Pivote,Vinicius Souza,0.9306,Nicolas Fonseca,0.922,Geoffrey Kondogbia,0.9161,Yves Bissouma,0.9115,Oumar Ngom,0.9012,Carlos Baleba,0.8922,Roméo Lavia,0.8794,Mikel Vesga,0.8129,Orel Mangala,0.7852,Rabby Nzingoula,0.7765,Marius Marin,0.758,Senne Lynen,0.7378,Fodé Sylla,0.729,Jean Onana,0.7245,Mohamadou Kanté,0.7171
Tomáš Souček,Pivote,Raúl,0.914,Kristijan Jakić,0.8815,Rani Khedira,0.8347,Julian Niehues,0.8309,Casemiro,0.8195,Martín Zubimendi,0.8135,Lohann Doucet,0.8018,Lesley Ugochukwu,0.8012,Baptiste Santamaria,0.7812,Máximo Perrone,0.7743,Wouter Burger,0.7719,Aleksandar Pavlovic,0.7638,Charles Pickel,0.7582,Kervin Arriaga,0.752,Samu Costa,0.7472
João Palhinha,Pivote,Marc Bernal,0.9425,Ryan Gravenberch,0.9226,Ibrahim Sangaré,0.9031,Yannik Engelhardt,0.847,Abdoulaye Touré,0.8427,Max Oyedele,0.8385,Pierre Højbjerg,0.8249,Rolando Mandragora,0.8084,Aleksandar Pavlovic,0.8076,Omar Mascarell,0.8073,Moisés Caicedo,0.8031,Amadou Onana,0.7933,Marc Roca,0.789,Hakan Çalhanoğlu,0.783,Boubacar Kamara,0.78
Lamare Bogarde,Pivote,Dario Essugo,0.9494,Yannik Keitel,0.944,Elisha Owusu,0.9024,Yvan Neyou,0.899,Salis Abdul Samed,0.896,Sofyan Amrabat,0.8831,Kwon Hyeokkyu,0.8805,Marius Marin,0.8503,Roméo Lavia,0.8386,Vinicius Souza,0.8215,Balthazar Pierret,0.8142,Sota Kawasaki,0.7934,Mohamadou Kanté,0.7838,Marc Casado,0.7759,Carlos Baleba,0.7359
Florentino Luís,Pivote,Charles Vanhoutte,0.8462,Cheikh Niasse,0.8187,Luca Lipani,0.7667,Sota Kawasaki,0.6443,Jean Onana,0.6409,Lennard Maloney,0.6257,Tom Krauß,0.604,Ibrahima Sissoko,0.5978,Marius Marin,0.5893,Idrissa Sabaly,0.5828,Fodé Sylla,0.5571,Nicolas Fonseca,0.5515,Adrien Tameze,0.5505,Lucien Agoume,0.5351,Junior Mwanga,0.5276
Soungoutou Magassa,Pivote,Ethan Ampadu,0.8484,Moisés Caicedo,0.8435,Marc Bernal,0.817,Adama Camara,0.7898,João Palhinha,0.7735,Max Oyedele,0.7729,James Sands,0.7577,Yannik Engelhardt,0.753,Ylber Ramadani,0.725,Batista Mendy,0.7104,André,0.7051,Benjamin André,0.6979,Abdoulaye Touré,0.6875,Oussama El Azzouzi,0.6867,Maguette Gueye,0.6863
Casemiro,Pivote,Kervin Arriaga,0.9564,Lesley Ugochukwu,0.8499,Raúl,0.8486,Charles Pickel,0.8474,Wouter Burger,0.8428,Pierre Lees-Melou,0.8291,Tomáš Souček,0.8195,Eric Martel,0.8124,Tyler Morton,0.7561,Adam Wharton,0.7542,Moisés Caicedo,0.716,Samu Costa,0.7132,Axel Witsel,0.6958,Hakan Çalhanoğlu,0.6776,Tyler Adams,0.6739
Adam Wharton,Pivote,Pierre Lees-Melou,0.9475,Marten de Roon,0.8537,Kervin Arriaga,0.8037,Eric Martel,0.8013,Tyler Morton,0.7806,Axel Witsel,0.7762,Lesley Ugochukwu,0.756,Casemiro,0.7542,Ezequiél Fernández,0.7181,Idrissa Gana Gueye,0.7092,Charles Pickel,0.6778,Al-Musrati,0.6644,Robert Andrich,0.653,Wouter Burger,0.6083,Raúl,0.5821
Roméo Lavia,Pivote,Vinicius Souza,0.9483,Mikel Vesga,0.9086,Elisha Owusu,0.8796,Manuel Ugarte,0.8794,Carlos Baleba,0.8676,Sota Kawasaki,0.865,Marius Marin,0.8599,Nicolas Fonseca,0.8569,Lamare Bogarde,0.8386,Geoffrey Kondogbia,0.8363,Benjamin Stambouli,0.8323,Yannik Keitel,0.8287,Sofyan Amrabat,0.8256,Oumar Ngom,0.8243,Salis Abdul Samed,0.8234
Sandro Tonali,Pivote,Kristjan Asllani,0.7353,Nahuel Estévez,0.7009,Niklas Dorsch,0.6872,Hans Nicolussi Caviglia,0.6549,Maxime Lopez,0.6157,Teun Koopmeiners,0.5999,Hamidou Makalou,0.5889,Johann Lepenant,0.5831,Santiago Colombatto,0.5605,Tochukwu Nnadi,0.5562,Cheikh Niasse,0.556,Assane Dioussé,0.5313,Jacopo Grossi,0.5202,Freddie Potts,0.5072,Iker Muñoz,0.5066
Lesley Ugochukwu,Pivote,Charles Pickel,0.9232,Kervin Arriaga,0.908,Axel Witsel,0.9003,Casemiro,0.8499,Robert Andrich,0.8272,Eric Martel,0.8124,Tomáš Souček,0.8012,Marten de Roon,0.7865,Raúl,0.7689,Pierre Lees-Melou,0.7561,Adam Wharton,0.756,Tyler Morton,0.745,Idrissa Gana Gueye,0.6754,Nemanja Matić,0.6314,Wouter Burger,0.6105
Yves Bissouma,Pivote,Carlos Baleba,0.9194,Manuel Ugarte,0.9115,Geoffrey Kondogbia,0.9017,Oumar Ngom,0.8496,Vinicius Souza,0.8426,Orel Mangala,0.801,Nicolas Fonseca,0.7824,Mathys De Carvalho,0.7801,Bahmed Deuff,0.7701,Nicolas Höfler,0.755,Roméo Lavia,0.7487,Lucas Torró,0.7455,Malthe Hojholt,0.736,Mohamadou Kanté,0.7239,Assane Dioussé,0.7008
Vitaly Janelt,Pivote,Benjamin André,0.8728,James Garner,0.8567,Granit Xhaka,0.7933,Hakan Çalhanoğlu,0.7886,Danilo Cataldi,0.7685,Joshua Kimmich,0.7517,Antonio Blanco,0.7315,Gianluca Gaetano,0.7274,Nabil Bentaleb,0.7238,Anton Stach,0.7119,Samu Costa,0.7097,Robin Fellhauer,0.7077,Marc Bernal,0.7063,Angelo Stiller,0.704,Rolando Mandragora,0.6864
Rodri,Pivote,Amadou Onana,0.8191,Ibrahim Sulemana,0.7804,Morten Frendrup,0.7394,Stanislav Lobotka,0.7345,James Sands,0.6887,Marc Aguado,0.6413,Yannik Engelhardt,0.6262,Maguette Gueye,0.6102,Ylber Ramadani,0.6014,Billy Gilmour,0.5967,Max Oyedele,0.5812,Ryan Gravenberch,0.5663,Soungoutou Magassa,0.562,André,0.5614,Nemanja Matić,0.5611
Rodrigo Bentancur,Pivote,Lucien Agoume,0.8327,Omar Mascarell,0.7712,Rani Khedira,0.7595,Martín Zubimendi,0.7297,Tyler Adams,0.7146,Benjamin André,0.6788,Patrick Osterhage,0.661,Vitaly Janelt,0.6489,Jordan Henderson,0.6401,José Luis García Vayá,0.6276,Soungoutou Magassa,0.6268,Marc Bernal,0.6031,Kristijan Jakić,0.603,Julian Niehues,0.6028,Nikola Moro,0.6027
Tyler Adams,Pivote,Rani Khedira,0.9004,Kristijan Jakić,0.8869,Baptiste Santamaria,0.8799,Samu Costa,0.8787,Máximo Perrone,0.8659,Marc Bernal,0.8398,Mario Martín,0.8371,Benjamin André,0.8353,Ibrahim Sangaré,0.8107,Max Oyedele,0.8014,Yannik Engelhardt,0.7941,Omar Mascarell,0.7902,João Palhinha,0.751,Lohann Doucet,0.75,Antonio Blanco,0.7474
Jefferson Lerma,Pivote,Mandela Keita,0.7233,Sander Berge,0.7181,Jon Gorrotxategi,0.6402,Philipp Sander,0.6278,Nicolai Remberg,0.5751,Jack Hinshelwood,0.5712,Rômulo,0.5409,Denis Zakaria,0.5179,Lucas Torró,0.4949,Nicolas Seiwald,0.426,Luca Lipani,0.3767,Aladji Bamba,0.3672,Johann Lepenant,0.3131,Rafael Gonçalves,0.3047,Tochukwu Nnadi,0.3018
Jack Hinshelwood,Pivote,Rômulo,0.9839,Máximo Perrone,0.6871,Kristijan Jakić,0.6607,Denis Zakaria,0.6561,Mohamed Bamba,0.6486,Philipp Sander,0.6467,Youssouf Fofana,0.646,Jon Gorrotxategi,0.617,Baptiste Santamaria,0.6156,Tyler Adams,0.6152,Raúl,0.6103,Rani Khedira,0.5972,Martín Zubimendi,0.5957,Tomáš Souček,0.5905,Aleksandar Pavlovic,0.5885
Amadou Onana,Pivote,Ibrahim Sulemana,0.8716,Rodri,0.8191,Ryan Gravenberch,0.8152,Maguette Gueye,0.8038,João Palhinha,0.7933,Billy Gilmour,0.7739,Max Oyedele,0.7715,Marc Roca,0.7659,Nemanja Gudelj,0.7505,Abdoulaye Touré,0.7416,Lohann Doucet,0.7176,Yannik Engelhardt,0.7119,Aleksandar Pavlovic,0.6926,Batista Mendy,0.6909,Pierre Højbjerg,0.6735
Carlos Baleba,Pivote,Geoffrey Kondogbia,0.9635,Vinicius Souza,0.9265,Yves Bissouma,0.9194,Manuel Ugarte,0.8922,Roméo Lavia,0.8676,Nicolas Fonseca,0.8525,Sofyan Amrabat,0.8443,Salis Abdul Samed,0.8043,Federico Redondo,0.7874,Oumar Ngom,0.7848,Orel Mangala,0.7734,Malthe Hojholt,0.7664,Marius Marin,0.7558,Lucas Gourna-Douath,0.7492,Mohamadou Kanté,0.7458
Boubacar Kamara,Pivote,Yannik Engelhardt,0.85,Pierre Højbjerg,0.8369,Ryan Gravenberch,0.7999,João Palhinha,0.78,Rolando Mandragora,0.7611,Angelo Stiller,0.7542,Marc Bernal,0.7497,Baptiste Santamaria,0.7073,Máximo Perrone,0.7056,Nabil Bentaleb,0.7048,Gianluca Gaetano,0.6952,Stanislav Lobotka,0.6949,Aleksandar Pavlovic,0.6813,Ibrahim Sangaré,0.6761,Samuele Ricci,0.6662
Freddie Potts,Pivote,Tom Krauß,0.9238,Ilia Gruev,0.7716,Aljoscha Kemlein,0.7408,Johann Lepenant,0.7309,Nahuel Estévez,0.7275,Nicolas Seiwald,0.6991,Nicolò Rovella,0.6613,Niklas Dorsch,0.6371,Ardon Jashari,0.6299,Charles Vanhoutte,0.6266,Mikel Vesga,0.6263,Wataru Endo,0.6055,Cheikh Niasse,0.5915,Andrea Ghion,0.5795,Oriol Rey,0.5692
Idrissa Gana Gueye,Pivote,Tyler Morton,0.929,Angelo Stiller,0.8227,Nabil Bentaleb,0.8187,Joshua Kimmich,0.8083,Raúl,0.79,Vitinha,0.7786,Gianluca Gaetano,0.7768,Ryan Gravenberch,0.7691,Danilo Cataldi,0.7298,Pierre Højbjerg,0.728,Adam Wharton,0.7092,Aleksandar Pavlovic,0.6963,Anton Stach,0.6929,Rolando Mandragora,0.6905,Lesley Ugochukwu,0.6754
Ibrahim Sangaré,Pivote,Marc Bernal,0.9292,João Palhinha,0.9031,Omar Mascarell,0.8956,Máximo Perrone,0.8752,Max Oyedele,0.8739,Aleksandar Pavlovic,0.8403,Tyler Adams,0.8107,Kristijan Jakić,0.81,Ryan Gravenberch,0.7877,Rani Khedira,0.7777,Yannik Engelhardt,0.7726,Ibrahim Sulemana,0.7725,Martín Zubimendi,0.7593,Anton Stach,0.758,Lohann Doucet,0.7512
Jordan Henderson,Pivote,Robin Fellhauer,0.7638,Nikola Moro,0.7564,Baptiste Santamaria,0.7376,Patrick Osterhage,0.6872,Martín Zubimendi,0.6665,Máximo Perrone,0.659,Rodrigo Bentancur,0.6401,Kaishū Sano,0.6345,Granit Xhaka,0.63,Lucien Agoume,0.6249,Vitaly Janelt,0.6165,Kristijan Jakić,0.6152,Aleksandar Pavlovic,0.6151,Rani Khedira,0.6115,Angelo Stiller,0.5854
Guido Rodríguez,Pivote,Sofyan Amrabat,0.8652,Skelly Alvero,0.837,Salis Abdul Samed,0.8008,Kwon Hyeokkyu,0.7985,Daren Mosengo,0.7893,Lucas Gourna-Douath,0.7736,Adrien Tameze,0.7317,Yvan Neyou,0.7101,Lamare Bogarde,0.698,Oriol Rey,0.6732,Carlos Baleba,0.6599,Santiago Colombatto,0.6576,Marius Marin,0.6467,Roméo Lavia,0.6459,Yannik Keitel,0.6311
Ilia Gruev,Pivote,Nahuel Estévez,0.8677,Wataru Endo,0.8403,Aljoscha Kemlein,0.8396,Hans Nicolussi Caviglia,0.7771,Freddie Potts,0.7716,Niklas Dorsch,0.7374,Oriol Rey,0.7126,Matteo Prati,0.6978,Tom Krauß,0.6941,Ardon Jashari,0.6911,Charles Vanhoutte,0.6898,Cheikh Niasse,0.6095,Granit Xhaka,0.606,Nicolò Rovella,0.5831,Maxime Lopez,0.5793
Christian Nørgaard,Pivote,Nicolas Höfler,0.8418,Bahmed Deuff,0.7232,Orel Mangala,0.7143,Oumar Ngom,0.7005,Jean Onana,0.673,Marius Courcoul,0.6456,Idrissa Sabaly,0.6325,Pablo Rosario,0.6194,Sadik Fofana,0.6115,Mathys De Carvalho,0.6055,Nouhoum Kamissoko,0.5824,Malthe Hojholt,0.572,Yves Bissouma,0.5701,David Daiber,0.5651,Kristjan Asllani,0.5639
Jerome Abbey,Pivote,Leon Avdullahu,0.8634,Abdoulaye Camara,0.7596,Adrien Tameze,0.7578,Tim Schnitzer,0.7425,Ben Winterburn,0.7425,Everton Pereira,0.7279,Skelly Alvero,0.7005,Daren Mosengo,0.683,Thomas Partey,0.6669,Jesper Karlström,0.6599,Ibrahima Sissoko,0.6509,Senne Lynen,0.6446,Salis Abdul Samed,0.6414,Daniel Boloca,0.636,Kwon Hyeokkyu,0.6261
André,Pivote,Ylber Ramadani,0.7171,Soungoutou Magassa,0.7051,Morten Frendrup,0.6452,Ethan Ampadu,0.637,James Sands,0.5666,Rodri,0.5614,Max Oyedele,0.5457,Jesper Karlström,0.5396,Yannik Engelhardt,0.519,Adama Camara,0.51,Batista Mendy,0.4776,Marius Marin,0.4764,Marc Bernal,0.4588,Dario Essugo,0.4568,Oussama El Azzouzi,0.4495
Ethan Ampadu,Pivote,Soungoutou Magassa,0.8484,Ylber Ramadani,0.7823,Adama Camara,0.7562,James Sands,0.6995,André,0.637,Benjamin André,0.5994,Aurélien Tchouaméni,0.5953,Manuel Locatelli,0.58,Moisés Caicedo,0.5652,Rodrigo Bentancur,0.5329,Vitaly Janelt,0.5292,James Garner,0.528,Marc Bernal,0.5062,Antonio Blanco,0.4907,Morten Frendrup,0.4705
Granit Xhaka,Pivote,Angelo Stiller,0.8887,Joshua Kimmich,0.8241,Vitaly Janelt,0.7933,Vitinha,0.784,Danilo Cataldi,0.7633,Nabil Bentaleb,0.7579,Gianluca Gaetano,0.7244,Samuele Ricci,0.7066,James Garner,0.7025,Idrissa Gana Gueye,0.6648,Boubacar Kamara,0.66,Rolando Mandragora,0.6511,Wataru Endo,0.6384,Jordan Henderson,0.63,Robin Fellhauer,0.6293
Sander Berge,Pivote,Jefferson Lerma,0.7181,Mandela Keita,0.6684,Jon Gorrotxategi,0.6343,Philipp Sander,0.5657,Denis Zakaria,0.5404,Leon Avdullahu,0.5148,Nicolas Seiwald,0.5103,Jerome Abbey,0.5074,Jack Hinshelwood,0.4446,Arthur Vermeeren,0.4212,Florentino Luís,0.4075,Rômulo,0.4068,Everton Pereira,0.3922,Malthe Hojholt,0.3869,Tomas Marques,0.3765
Moisés Caicedo,Pivote,Soungoutou Magassa,0.8435,Marc Bernal,0.837,João Palhinha,0.8031,Oussama El Azzouzi,0.7813,Eric Martel,0.7728,Max Oyedele,0.7667,Yannik Engelhardt,0.7423,Casemiro,0.716,Kervin Arriaga,0.7009,Abdoulaye Touré,0.6696,Ryan Gravenberch,0.6679,Tyler Adams,0.665,Maguette Gueye,0.6575,Omar Mascarell,0.6489,Benjamin André,0.6484
Dario Essugo,Pivote,Lamare Bogarde,0.9494,Elisha Owusu,0.89,Mohamadou Kanté,0.8864,Yvan Neyou,0.8682,Yannik Keitel,0.859,Marius Marin,0.8441,Vinicius Souza,0.8271,Salis Abdul Samed,0.7975,Nicolas Fonseca,0.7689,Sofyan Amrabat,0.765,Roméo Lavia,0.7588,Geoffrey Kondogbia,0.7442,Kwon Hyeokkyu,0.7272,Sota Kawasaki,0.724,Marc Casado,0.7209
Mohamadou Kanté,Pivote,Dario Essugo,0.8864,Sadik Fofana,0.882,Elisha Owusu,0.8342,Vinicius Souza,0.8105,Nicolas Fonseca,0.7938,Lamare Bogarde,0.7838,Marius Marin,0.7505,Geoffrey Kondogbia,0.749,Carlos Baleba,0.7458,Yvan Neyou,0.7243,Yves Bissouma,0.7239,Manuel Ugarte,0.7171,Roméo Lavia,0.7143,Yannik Keitel,0.7111,Sofyan Amrabat,0.7085
Martín Zubimendi,Pivote,Julian Niehues,0.9262,Kristijan Jakić,0.9186,Rani Khedira,0.9181,Aleksandar Pavlovic,0.9142,Robin Fellhauer,0.8907,Leander Dendoncker,0.8608,Billy Gilmour,0.8557,Omar Mascarell,0.8397,Tomáš Souček,0.8135,Máximo Perrone,0.8074,Ryan Gravenberch,0.7977,Nikola Moro,0.7939,Baptiste Santamaria,0.7932,Joris Chotard,0.7674,Ibrahim Sangaré,0.7593
Ryan Gravenberch,Pivote,João Palhinha,0.9226,Pierre Højbjerg,0.9199,Abdoulaye Touré,0.9051,Aleksandar Pavlovic,0.899,Rolando Mandragora,0.8572,Nabil Bentaleb,0.8545,Yannik Engelhardt,0.851,Kristijan Jakić,0.8484,Gianluca Gaetano,0.8286,Billy Gilmour,0.8187,Amadou Onana,0.8152,Anton Stach,0.8138,Hakan Çalhanoğlu,0.8115,Boubacar Kamara,0.7999,Martín Zubimendi,0.7977
James Garner,Pivote,Vitaly Janelt,0.8567,Gianluca Gaetano,0.8128,Hakan Çalhanoğlu,0.8124,Joshua Kimmich,0.8038,Danilo Cataldi,0.8032,Nabil Bentaleb,0.7971,Anton Stach,0.7805,Vitinha,0.7521,Manuel Locatelli,0.7314,Antonio Blanco,0.7309,Rolando Mandragora,0.7156,Granit Xhaka,0.7025,João Palhinha,0.6786,Idrissa Gana Gueye,0.6741,Benjamin André,0.6732
Ben Winterburn,Pivote,Tim Schnitzer,1.0,Simone Lottici Tessadri,0.9007,Abdoulaye Camara,0.8818,Jonas Meffert,0.8726,Tomas Marques,0.869,Alessandro Romano,0.867,Sergio Lozano,0.8628,Bane Diatta,0.8628,Daren Mosengo,0.8538,Kwon Hyeokkyu,0.7968,Balthazar Pierret,0.7688,Nouhoum Kamissoko,0.767,Jerome Abbey,0.7425,David Daiber,0.728,Andrea Ghion,0.722
Wataru Endo,Pivote,Ilia Gruev,0.8403,Aladji Bamba,0.8142,Matteo Prati,0.7569,Charles Vanhoutte,0.7373,Nicolò Rovella,0.7028,Tom Krauß,0.7021,Oriol Rey,0.6997,Nahuel Estévez,0.695,Francis Coquelin,0.6933,Granit Xhaka,0.6384,Marc Casado,0.6268,Alpha Touré,0.6099,Freddie Potts,0.6055,Aljoscha Kemlein,0.601,Reda Belahyane,0.5855
Sofyan Amrabat,Pivote,Kwon Hyeokkyu,0.9313,Salis Abdul Samed,0.9195,Lamare Bogarde,0.8831,Yvan Neyou,0.8726,Guido Rodríguez,0.8652,Carlos Baleba,0.8443,Yannik Keitel,0.8401,Roméo Lavia,0.8256,Daren Mosengo,0.7962,Vinicius Souza,0.7827,Lucas Gourna-Douath,0.7722,Dario Essugo,0.765,Malthe Hojholt,0.7625,Marius Marin,0.7615,Elisha Owusu,0.7599
Gerard Gumbau,Pivote,Tochukwu Nnadi,0.7909,Ardon Jashari,0.7702,Luca Lipani,0.7337,Maxime Lopez,0.7076,Rafael Gonçalves,0.6867,Hans Nicolussi Caviglia,0.6231,Francis Coquelin,0.613,Matteo Prati,0.5926,Aladji Bamba,0.5841,James Garner,0.5328,Charles Vanhoutte,0.4982,Antonio Blanco,0.4846,Wataru Endo,0.4837,Manuel Locatelli,0.4825,Wouter Burger,0.4777
Oriol Rey,Pivote,Marc Casado,0.9046,Alpha Touré,0.898,Matteo Prati,0.8806,Santiago Colombatto,0.8533,Niklas Dorsch,0.8245,Nahuel Estévez,0.7704,Aljoscha Kemlein,0.7637,Sofyan Amrabat,0.7345,Charles Vanhoutte,0.7228,Ilia Gruev,0.7126,Kwon Hyeokkyu,0.7005,Wataru Endo,0.6997,Lamare Bogarde,0.699,Yvan Neyou,0.6826,Guido Rodríguez,0.6732
Kervin Arriaga,Pivote,Casemiro,0.9564,Lesley Ugochukwu,0.908,Eric Martel,0.887,Pierre Lees-Melou,0.8598,Charles Pickel,0.8516,Axel Witsel,0.8038,Adam Wharton,0.8037,Raúl,0.8028,Wouter Burger,0.7701,Marten de Roon,0.7623,Tomáš Souček,0.752,Tyler Morton,0.7331,Robert Andrich,0.7039,Moisés Caicedo,0.7009,Idrissa Gana Gueye,0.6714
Tomas Marques,Pivote,Alessandro Romano,1.0,David Daiber,0.892,Olaf Gorter,0.8705,Tim Schnitzer,0.869,Ben Winterburn,0.869,Yannik Keitel,0.8467,Jonas Meffert,0.8443,Bane Diatta,0.8336,Sergio Lozano,0.8336,Kwon Hyeokkyu,0.8322,Simone Lottici Tessadri,0.7882,Junior Mwanga,0.7816,Elisha Owusu,0.7798,Nouhoum Kamissoko,0.7616,Sadik Fofana,0.7531
Sergio Lozano,Pivote,Bane Diatta,1.0,Jonas Meffert,0.9965,Nouhoum Kamissoko,0.8952,Olaf Gorter,0.8829,Andrea Ghion,0.8763,Junior Mwanga,0.8634,Ben Winterburn,0.8628,Tim Schnitzer,0.8628,Balthazar Pierret,0.8339,Tomas Marques,0.8336,Alessandro Romano,0.8324,Benjamin Stambouli,0.8218,Salih Özcan,0.7761,Yannik Keitel,0.7712,Abdoulaye Camara,0.7499
Leander Dendoncker,Pivote,Martín Zubimendi,0.8608,Julian Niehues,0.8336,Billy Gilmour,0.7564,Ibrahim Sulemana,0.7534,José Luis García Vayá,0.7457,Bryan Cristante,0.7361,Nemanja Gudelj,0.729,Aleksandar Pavlovic,0.7233,Rani Khedira,0.7227,Nikola Moro,0.7215,Kristijan Jakić,0.7128,Tomáš Souček,0.6887,Robin Fellhauer,0.6697,Omar Mascarell,0.6563,Joris Chotard,0.6328
Batista Mendy,Pivote,Maguette Gueye,0.9164,Max Oyedele,0.7271,Soungoutou Magassa,0.7104,Amadou Onana,0.6909,Nemanja Gudelj,0.6779,Lohann Doucet,0.6459,Moisés Caicedo,0.6442,Abdoulaye Touré,0.6325,Ylber Ramadani,0.6317,João Palhinha,0.6193,Manuel Locatelli,0.6173,Ibrahim Sulemana,0.6057,Marc Bernal,0.5978,Ngal'Ayel Mukau,0.5856,James Sands,0.5804
Federico Redondo,Pivote,Roméo Lavia,0.7885,Carlos Baleba,0.7874,Vinicius Souza,0.7823,Ellyes Skhiri,0.7744,Alberto Grassi,0.7692,Geoffrey Kondogbia,0.7585,Salis Abdul Samed,0.7521,Rabby Nzingoula,0.7302,Yannik Keitel,0.6996,Manuel Ugarte,0.6965,Skelly Alvero,0.6958,Lamare Bogarde,0.6958,Mikel Vesga,0.6931,Nicolas Fonseca,0.6881,Sofyan Amrabat,0.6817
Damián Rodríguez,Pivote,David Daiber,0.8165,Teun Koopmeiners,0.7918,Everton Pereira,0.7443,Lennard Maloney,0.7362,Niklas Dorsch,0.7243,Malthe Hojholt,0.7024,Ibrahima Sissoko,0.6943,Alessandro Romano,0.6933,Alpha Touré,0.693,Tomas Marques,0.6926,Sota Kawasaki,0.6915,Santiago Colombatto,0.6892,Sofyan Amrabat,0.6861,Jacopo Grossi,0.684,Junior Mwanga,0.653
Carlos Benavídez,Pivote,Ezequiél Fernández,0.7234,Al-Musrati,0.6991,Charles Pickel,0.6733,Pierre Lees-Melou,0.6447,Marten de Roon,0.6145,Ellyes Skhiri,0.597,Axel Witsel,0.5791,Rabby Nzingoula,0.5395,Arthur Vermeeren,0.5132,Federico Redondo,0.5086,Adam Wharton,0.5051,Eric Martel,0.4914,Bahmed Deuff,0.4389,Robert Andrich,0.4346,Alberto Grassi,0.4346
Mikel Vesga,Pivote,Roméo Lavia,0.9086,Adrien Tameze,0.8948,Senne Lynen,0.8514,Benjamin Stambouli,0.8378,Sota Kawasaki,0.8242,Manuel Ugarte,0.8129,Vinicius Souza,0.8096,Daniel Boloca,0.8087,Fodé Sylla,0.803,Idrissa Sabaly,0.7905,Marius Marin,0.7871,Rabby Nzingoula,0.7788,Nicolas Fonseca,0.7778,Oumar Ngom,0.7686,Jean Onana,0.7645
Yvan Neyou,Pivote,Lamare Bogarde,0.899,Kwon Hyeokkyu,0.8744,Sofyan Amrabat,0.8726,Dario Essugo,0.8682,Salis Abdul Samed,0.8669,Yannik Keitel,0.831,Marc Casado,0.7973,Lucas Gourna-Douath,0.7497,Mohamadou Kanté,0.7243,Elisha Owusu,0.7192,Guido Rodríguez,0.7101,Carlos Baleba,0.6907,Oriol Rey,0.6826,Daren Mosengo,0.6779,Marius Marin,0.6688
Marc Casado,Pivote,Oriol Rey,0.9046,Matteo Prati,0.8495,Yvan Neyou,0.7973,Lamare Bogarde,0.7759,Sofyan Amrabat,0.7546,Alpha Touré,0.7546,Kwon Hyeokkyu,0.7373,Dario Essugo,0.7209,Francis Coquelin,0.716,Santiago Colombatto,0.6931,Yannik Keitel,0.6891,Balthazar Pierret,0.6403,Aljoscha Kemlein,0.6352,Mohamadou Kanté,0.6289,Nahuel Estévez,0.6289
Nicolas Fonseca,Pivote,Vinicius Souza,0.9525,Geoffrey Kondogbia,0.9315,Manuel Ugarte,0.922,Marius Marin,0.9219,Roméo Lavia,0.8569,Carlos Baleba,0.8525,Sota Kawasaki,0.8028,Mohamadou Kanté,0.7938,Elisha Owusu,0.793,Yves Bissouma,0.7824,Mikel Vesga,0.7778,Dario Essugo,0.7689,Fodé Sylla,0.7457,Oumar Ngom,0.7343,Rabby Nzingoula,0.7212
Iker Muñoz,Pivote,Assane Dioussé,0.8854,Lucas Gourna-Douath,0.8801,Nicolai Remberg,0.8459,Lucas Torró,0.739,Teun Koopmeiners,0.7104,Bahmed Deuff,0.6969,Carlos Baleba,0.6218,Ibrahima Sissoko,0.6031,Geoffrey Kondogbia,0.5915,Santiago Colombatto,0.5913,Yves Bissouma,0.5745,Mathys De Carvalho,0.557,Guido Rodríguez,0.5335,Sofyan Amrabat,0.5267,Lennard Maloney,0.5254
Raúl,Pivote,Tomáš Souček,0.914,Hakan Çalhanoğlu,0.8746,Wouter Burger,0.8631,Tyler Morton,0.8583,Casemiro,0.8486,Pierre Højbjerg,0.8444,Rolando Mandragora,0.8436,Kristijan Jakić,0.8427,Gianluca Gaetano,0.8205,Nabil Bentaleb,0.8108,Máximo Perrone,0.8101,Anton Stach,0.8087,Mohamed Bamba,0.8082,Samuele Ricci,0.8057,Samu Costa,0.8055
Marc Bernal,Pivote,João Palhinha,0.9425,Ibrahim Sangaré,0.9292,Max Oyedele,0.9104,Omar Mascarell,0.868,Yannik Engelhardt,0.8584,Tyler Adams,0.8398,Moisés Caicedo,0.837,Soungoutou Magassa,0.817,Ryan Gravenberch,0.7889,Máximo Perrone,0.7624,Benjamin André,0.757,Samu Costa,0.7544,Boubacar Kamara,0.7497,Maguette Gueye,0.7455,Kristijan Jakić,0.7364
