Player,grupo_posicional,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5,similar_6,score_6,similar_7,score_7,similar_8,score_8,similar_9,score_9,similar_10,score_10,similar_11,score_11,similar_12,score_12,similar_13,score_13,similar_14,score_14,similar_15,score_15
Nick Woltemade,Delantero centro,Georginio Rutter,0.923,Rodrigo Muniz,0.9028,Jonathan David,0.2966,Borja Mayoral,0.2571,Lorenzo Lucca,0.2402,Igor Matanović,0.2302,Karl Etta Eyong,0.2263,Alexander Isak,0.2094,Leonardo Pavoletti,0.2074,Gonzalo García,0.1955,Nesta Elphege,0.1945,Ragnar Ache,0.1914,Ange-Yoan Bonny,0.1909,Caleb Ekuban,0.1892,Hugo Ekitike,0.1819
Mathys Tel,Delantero centro,Giuliano Simeone,0.9271,Arthur,0.8912,Mostafa Mohamed,0.8325,Mama Samba Baldé,0.8304,Ilyas Ansah,0.8248,Matthis Abline,0.8019,Iván Romero,0.7947,Ignatius Ganago,0.7854,Florian Sotoca,0.7853,Mateo Joseph,0.7686,Iago Aspas,0.7443,William Bøving,0.7402,Marvin Pieringer,0.7362,Adrian Benedyczak,0.7255,Martin Satriano,0.7214
Joshua King,Delantero centro,Adrian Benedyczak,0.9831,Mateo Joseph,0.9628,Ezequiel Ávila,0.9414,Sandro Kulenović,0.9063,Keke Topp,0.856,Amady Camara,0.8538,Florian Sotoca,0.8529,Lucas Beltrán,0.8497,Marvin Pieringer,0.847,Bernard Nguene,0.8426,Hwang Hee-chan,0.8404,Randal Kolo Muani,0.8326,Matthis Abline,0.8162,Paris Brunner,0.8162,Christian Kouamé,0.7835
Richarlison,Delantero centro,Hamza Igamane,0.9615,Michael Gregoritsch,0.9561,Stefan Schimmer,0.9446,Amine Gouiri,0.9331,Robinio Vaz,0.9239,João Pedro,0.8997,Lautaro Martínez,0.8957,Ayoze Pérez,0.8889,Deniz Undav,0.88,Luca Waldschmidt,0.8774,Maximilian Beier,0.8763,Ragnar Ache,0.8682,Harry Kane,0.8676,Grant Ranos,0.8444,Georges Mikautadze,0.8407
Callum Marshall,Delantero centro,Filip Stojilković,0.9686,Niclas Füllkrug,0.9606,Fabio Moreno Fell,0.9419,Timo Werner,0.9283,Evanilson,0.9195,David Datro Fofana,0.9124,Jørgen Strand Larsen,0.8987,Riccardo Braschi,0.8852,Sasa Kalajdzic,0.8718,Damion Downs,0.8614,Adam Armstrong,0.86,Yoane Wissa,0.8455,Bojan Miovski,0.8396,Ibrahim Kanté,0.8396,Enzo Molebe,0.8396
Sasa Kalajdzic,Delantero centro,Ibrahim Kanté,0.9401,Theo Bair,0.9401,Pau Cabanes,0.9401,Bojan Miovski,0.9401,Enzo Molebe,0.9401,Ryan Rodin,0.9401,Pierre-Yves Hamel,0.9332,Matteo Lavelli,0.9232,Petar Ratkov,0.9222,Faris Pemi Moumbagna,0.9119,Fynn Schenten,0.9023,Damion Downs,0.9,Jacen Russell-Rowe,0.887,Asier Hierro,0.8814,Callum Marshall,0.8718
Evanilson,Delantero centro,Filip Stojilković,0.9644,Fabio Moreno Fell,0.9534,Timo Werner,0.9311,Niclas Füllkrug,0.9274,Callum Marshall,0.9195,Antonio Arena,0.8988,Riccardo Braschi,0.8903,Umar Sadiq,0.8608,Salomón Rondón,0.8261,Ransford Königsdörffer,0.8257,Jørgen Strand Larsen,0.8168,Brian Madjo,0.792,David Datro Fofana,0.7799,Patrick Cutrone,0.7675,Adam Armstrong,0.7584
Stefanos Tzimas,Delantero centro,Ange-Yoan Bonny,0.941,Hugo Ekitike,0.9296,Karl Etta Eyong,0.9083,João Pedro,0.8929,Caleb Ekuban,0.8826,Jonathan David,0.8663,Roman Yaremchuk,0.866,Jovan Milošević,0.8647,Fisnik Asllani,0.8565,Kader Meïté,0.8342,Artem Dovbyk,0.8324,Michael Gregoritsch,0.8251,Kai Havertz,0.8181,Rasmus Højlund,0.8113,Marcus Thuram,0.7968
Dominic Calvert-Lewin,Delantero centro,Gabriel Jesus,0.8997,Borja Iglesias,0.874,Haris Tabaković,0.8491,Wilson Isidor,0.8407,Giorgi Guliashvili,0.835,Orri Steinn Óskarsson,0.8277,Robert Lewandowski,0.8275,Bamba Dieng,0.822,Asier Villalibre,0.8175,Taiwo Awoniyi,0.8116,George Ilenikhena,0.803,Akor Adams,0.7925,Ollie Watkins,0.7809,Giovanni Simeone,0.777,Phillip Tietz,0.7719
Sean Neave,Delantero centro,Marc Guiu,1.0,Laurs Skjellerup,0.9999,Alejo Sarco,0.997,Taichi Hara,0.9965,Asier Hierro,0.983,Ioan Vermeșan,0.955,Sérigné Diop,0.9311,Michy Batshuayi,0.9257,Faris Pemi Moumbagna,0.9233,Ryan Rodin,0.9065,Ibrahim Kanté,0.9065,Theo Bair,0.9065,Bojan Miovski,0.9065,Enzo Molebe,0.9065,Pau Cabanes,0.9065
Ashley Barnes,Delantero centro,Thiago Borbas,0.9155,Liam Delap,0.7978,Samuel Essende,0.7646,Jon Karrikaburu,0.7556,Kevin Carlos,0.7456,Christantus Uche,0.7356,Moise Kean,0.726,Mariano,0.7228,Roberto Piccoli,0.7154,Mbwana Samatta,0.6766,Gorka Carrera,0.6704,Brian Madjo,0.6658,Enes Ünal,0.6532,Santiago Giménez,0.6249,Jonas Wind,0.6208
Erling Haaland,Delantero centro,Jonathan Burkardt,0.9809,Patrik Schick,0.9794,Ferrán Torres,0.949,Georges Mikautadze,0.9211,Benjamin Šeško,0.9147,Callum Wilson,0.9123,Donyell Malen,0.9115,Gerard Moreno,0.9057,Bamba Dieng,0.8988,Robert Lewandowski,0.8947,Julián Vignolo,0.8936,Toni Martínez,0.8907,Serhou Guirassy,0.8901,Harry Kane,0.89,Giorgi Guliashvili,0.8775
Ollie Watkins,Delantero centro,Giorgi Guliashvili,0.9746,Callum Wilson,0.9607,Robert Lewandowski,0.9492,Ferrán Torres,0.9489,Bamba Dieng,0.9378,Taiwo Awoniyi,0.9332,Ragnar Ache,0.9329,Roman Yaremchuk,0.9253,Asier Villalibre,0.922,Harry Kane,0.9207,Orri Steinn Óskarsson,0.9186,Donyell Malen,0.8997,Deniz Undav,0.8749,Artem Dovbyk,0.8698,Hamza Igamane,0.8646
Zeki Amdouni,Delantero centro,Adam Hložek,0.981,Ioan Vermeșan,0.9763,Jeremy Arévalo,0.9748,Abdón Prats,0.9666,Ugo Lamare,0.9342,Michy Batshuayi,0.9287,Dmytro Bohdanov,0.9239,Arkadiusz Milik,0.9132,Milan Đurić,0.9112,Laurs Skjellerup,0.897,Sean Neave,0.8936,Marc Guiu,0.8928,Tolu Arokodare,0.8855,Pierre Mounguengue,0.8842,Alejo Sarco,0.8691
Enes Ünal,Delantero centro,Moise Kean,0.7845,Walid Cheddira,0.7812,Kiké,0.7789,Samuel Essende,0.7692,Keinan Davis,0.7689,Nikola Krstović,0.7219,Álvaro Rodríguez,0.7026,Rayan Fofana,0.6751,Cristhian Stuani,0.6562,Ashley Barnes,0.6532,Phillip Tietz,0.647,Roberto Piccoli,0.6294,Nouha Dicko,0.6222,Raúl Jiménez,0.593,Andrej Ilic,0.5827
Igor Thiago,Delantero centro,Orri Steinn Óskarsson,0.8893,Eli Junior Kroupi,0.8859,Elye Wahi,0.8767,Ricky-Jade Jones,0.8757,Andrea Belotti,0.8639,Joaquín Panichelli,0.859,Eddie Nketiah,0.8569,Rémy Labeau Lascary,0.8487,Robinio Vaz,0.8414,Danny Welbeck,0.8257,Carlos Espí,0.8218,Grant Ranos,0.8182,Jaime Mata,0.8181,Arnaud Kalimuendo,0.7966,Ermedin Demirović,0.7727
Marc Guiu,Delantero centro,Sean Neave,1.0,Laurs Skjellerup,0.9999,Alejo Sarco,0.9972,Taichi Hara,0.9967,Asier Hierro,0.9835,Ioan Vermeșan,0.9543,Sérigné Diop,0.9309,Michy Batshuayi,0.9252,Faris Pemi Moumbagna,0.9241,Ryan Rodin,0.9076,Ibrahim Kanté,0.9076,Theo Bair,0.9076,Bojan Miovski,0.9076,Enzo Molebe,0.9076,Pau Cabanes,0.9076
Joël Piroe,Delantero centro,Abel Ruiz,0.8821,Tolu Arokodare,0.8596,Yassir Zabiri,0.8523,Patrick Cutrone,0.8466,Sérigné Diop,0.8436,Amady Camara,0.8183,Petar Ratkov,0.8056,Abdón Prats,0.7999,Dmytro Bohdanov,0.7597,Ioan Vermeșan,0.758,Santiago Giménez,0.7483,Nelson Weiper,0.7435,Otto Stange,0.7397,Pierre Mounguengue,0.7295,Laurs Skjellerup,0.7278
Dane Scarlett,Delantero centro,Jonah Kusi-Asare,1.0,Francesco Camarda,0.9767,Giuseppe Ambrosino,0.9451,Louis Buffon,0.9451,Jan Urbich,0.9336,Pierre-Yves Hamel,0.9328,Jessic Ngankam,0.9252,Idrissa Guèye,0.9203,Zoumana Diallo,0.9127,Henrik Meister,0.9087,Ibrahim Kanté,0.9069,Ryan Rodin,0.9069,Enzo Molebe,0.9069,Theo Bair,0.9069,Pau Cabanes,0.9069
Christantus Uche,Delantero centro,Jon Karrikaburu,0.9855,Loïs Openda,0.9549,Santiago Giménez,0.9046,Liam Delap,0.8944,Daniel Mosquera,0.844,Jean-Philippe Krasso,0.8357,Kevin Carlos,0.8085,Diego Morcillo,0.802,Lanroy Machine,0.7959,Daniel Mikołajewski,0.7783,Samuel Essende,0.777,Uchenna Ogundu,0.7719,Mbwana Samatta,0.7636,Roberto Piccoli,0.7592,Thiago Borbas,0.7568
